                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 8193 Thread 1 - main                                                |   818000 |   143000 |    63513947 |   7390448565 |  34140160 |   1024 |     6257514 |       0 |      0 |         0 
 8215 Thread 2 - Reference Handler                                   |     9000 |        0 |      935249 |     73268687 |         0 |      0 |     4228735 |       0 |      0 |         0 
 8216 Thread 3 - Finalizer                                           |     8000 |     1000 |      786433 |     70572281 |      5120 |      0 |     1256095 |       0 |      0 |         0 
 8217 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     2000 |      129937 |     15194574 |         0 |      0 |       13255 |       0 |      0 |         0 
 8218 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       38123 |       0 |      0 |         0 
 8227 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      943249 |     29303781 |      4096 |      0 |      340735 |       0 |      0 |         0 
 8228 Thread 13 - RMI RenewClean-[10.231.182.152:43456]              |     1000 |        0 |       82187 |      7893246 |      1024 |      0 |       12240 |       0 |      0 |         0 
 8229 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       13458 |       0 |      0 |         0 
 8231 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 30126000 | 30602000 | 18531849691 | 591635481568 | 572523520 | 129024 | 19044345657 |  231176 |      0 |         0 
 8233 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   224000 |    62000 |    85615015 |   2780777409 |   7133184 |   5120 |    85500266 |  313235 |      0 |         0 
 8237 Thread 17 - PartitionProcessorThre...687-8ee3-906559ee3a04-0-0 |  1240000 |   404000 |   496038415 |  16022408024 |     33792 |      0 |  1905752831 |       0 |      0 |         0 
 8238 Thread 18 - PartitionProcessorThre...687-8ee3-906559ee3a04-0-1 |  1293000 |   439000 |   525664341 |  16884812051 |         0 |      0 |  1563266963 |       0 |      0 |         0 
 8239 Thread 19 - PartitionProcessorThre...687-8ee3-906559ee3a04-0-2 |  1296000 |   449000 |   528734614 |  17012432204 |      4096 |      0 |  1944358456 |       0 |      0 |         0 
