                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 12387 Thread 1 - main                                                |   586000 |    76000 |    41205424 |   5033360052 |  21203968 |   1024 |     4292443 |      0 |      0 |         0 
 12409 Thread 2 - Reference Handler                                   |     5000 |        0 |      494339 |     38768886 |         0 |      0 |       81749 |      0 |      0 |         0 
 12410 Thread 3 - Finalizer                                           |     3000 |     1000 |      321046 |     30294847 |      5120 |      0 |     1344397 |      0 |      0 |         0 
 12411 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |      313750 |      9785246 |         0 |      0 |      319300 |      0 |      0 |         0 
 12412 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      295546 |      9755039 |         0 |      0 |           0 |      0 |      0 |         0 
 12422 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28521000 | 32810000 | 18071181779 | 597189844628 | 637022208 | 121856 | 19915412651 |  92411 |      0 |         0 
 12423 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   159000 |    35000 |    56637480 |   1888991378 |   5933056 |   4096 |    16561944 | 207892 |      0 |         0 
 12426 Thread 14 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-0 |  1335000 |   453000 |   524030083 |  17442694855 |         0 |      0 |  1313631998 |      0 |      0 |         0 
 12427 Thread 15 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-1 |  1352000 |   471000 |   532988587 |  17778026374 |     34816 |      0 |  1711491772 |      0 |      0 |         0 
 12428 Thread 16 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-2 |  1263000 |   428000 |   497869458 |  16496271054 |         0 |      0 |  1427652417 |      0 |      0 |         0 
 12429 Thread 17 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-3 |  1352000 |   451000 |   529126774 |  17588644671 |         0 |      0 |  1415935299 |      0 |      0 |         0 
 12430 Thread 18 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-4 |  1290000 |   451000 |   511523173 |  16985459449 |         0 |      0 |  1443340200 |      0 |      0 |         0 
 12431 Thread 19 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-5 |  1220000 |   465000 |   493049602 |  16435360234 |    117760 |      0 |  1446431955 |      0 |      0 |         0 
 12432 Thread 20 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-6 |  1245000 |   399000 |   481398833 |  16038957148 |      1024 |      0 |  1545112225 |      0 |      0 |         0 
 12433 Thread 21 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-7 |  1389000 |   435000 |   533001552 |  17788871531 |      5120 |      0 |  1458914306 |      0 |      0 |         0 
 12434 Thread 22 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-8 |  1401000 |   447000 |   541407559 |  18030057214 |         0 |      0 |  1446022888 |      0 |      0 |         0 
 12435 Thread 23 - PartitionProcessorThre...b3e-8e85-8e41c3793416-0-9 |  1279000 |   427000 |   499490278 |  16645259777 |      1024 |      0 |  1619268505 |      0 |      0 |         0 
 12436 Thread 24 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-10 |  1254000 |   426000 |   492770290 |  16392023957 |         0 |      0 |  1583618055 |      0 |      0 |         0 
 12437 Thread 25 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-11 |  1253000 |   453000 |   499521997 |  16642937601 |         0 |      0 |  1347075740 |      0 |      0 |         0 
 12438 Thread 26 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-12 |  1325000 |   440000 |   516199208 |  17219898386 |         0 |      0 |  1404476429 |      0 |      0 |         0 
 12439 Thread 27 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-13 |  1266000 |   455000 |   504047661 |  16790129808 |     44032 |      0 |  1582679516 |      0 |      0 |         0 
 12440 Thread 28 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-14 |  1320000 |   490000 |   529527169 |  17660632659 |         0 |      0 |  1181010363 |      0 |      0 |         0 
 12441 Thread 29 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-15 |  1270000 |   419000 |   494198173 |  16475960000 |         0 |      0 |  1514055872 |      0 |      0 |         0 
 12442 Thread 30 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-16 |  1269000 |   411000 |   493696001 |  16390810273 |         0 |      0 |  1292176872 |      0 |      0 |         0 
 12443 Thread 31 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-17 |  1283000 |   474000 |   516300587 |  17142465031 |         0 |      0 |  1369960117 |      0 |      0 |         0 
 12444 Thread 32 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-18 |  1308000 |   472000 |   520446532 |  17366787011 |         0 |      0 |  1402993326 |      0 |      0 |         0 
 12445 Thread 33 - PartitionProcessorThre...3e-8e85-8e41c3793416-0-19 |  1301000 |   409000 |   502092958 |  16683773175 |         0 |      0 |  1434885295 |      0 |      0 |         0 
 12446 Thread 34 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-0 |  1272000 |   439000 |   506904739 |  16695229031 |         0 |      0 |  1399310470 |      0 |      0 |         0 
 12447 Thread 35 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-1 |  1352000 |   451000 |   535851071 |  17593733363 |         0 |      0 |  1331161005 |      0 |      0 |         0 
 12448 Thread 36 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-2 |  1302000 |   455000 |   520200587 |  17144608660 |         0 |      0 |  1626273145 |      0 |      0 |         0 
 12449 Thread 37 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-3 |  1257000 |   454000 |   507308130 |  16696320453 |         0 |      0 |  1433624165 |      0 |      0 |         0 
 12450 Thread 38 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-4 |  1284000 |   465000 |   516847747 |  17066781566 |         0 |      0 |  1419452845 |      0 |      0 |         0 
 12451 Thread 39 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-5 |  1293000 |   443000 |   514387571 |  16939660812 |         0 |      0 |  1334426159 |      0 |      0 |         0 
 12452 Thread 40 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-6 |  1206000 |   432000 |   484862790 |  15983227422 |         0 |      0 |  1126477206 |      0 |      0 |         0 
 12453 Thread 41 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-7 |  1208000 |   437000 |   487916321 |  16051847476 |         0 |      0 |  1121824448 |      0 |      0 |         0 
 12454 Thread 42 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-8 |  1272000 |   479000 |   520722657 |  17085682710 |         0 |      0 |  1456947702 |      0 |      0 |         0 
 12455 Thread 43 - PartitionProcessorThre...b3e-8e85-8e41c3793416-2-9 |  1251000 |   413000 |   494267563 |  16237742828 |         0 |      0 |  1301968587 |      0 |      0 |         0 
 12456 Thread 44 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-10 |  1175000 |   467000 |   486882364 |  16023571957 |         0 |      0 |  1386325828 |      0 |      0 |         0 
 12457 Thread 45 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-11 |  1293000 |   457000 |   519039325 |  17076734988 |         0 |      0 |  1433249531 |      0 |      0 |         0 
 12458 Thread 46 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-12 |  1291000 |   432000 |   511574169 |  16813264996 |         0 |      0 |  1398821530 |      0 |      0 |         0 
 12459 Thread 47 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-13 |  1296000 |   432000 |   513307583 |  16861482691 |         0 |      0 |  1487822331 |      0 |      0 |         0 
 12460 Thread 48 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-14 |  1171000 |   426000 |   474329349 |  15583230883 |         0 |      0 |  1320346220 |      0 |      0 |         0 
 12461 Thread 49 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-15 |  1212000 |   434000 |   489043192 |  16061870859 |      3072 |      0 |  1331002451 |      0 |      0 |         0 
 12462 Thread 50 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-16 |  1184000 |   445000 |   484385310 |  15896315562 |         0 |      0 |  1345689444 |      0 |      0 |         0 
 12463 Thread 51 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-17 |  1248000 |   458000 |   507013473 |  16648200187 |         0 |      0 |  1398906854 |      0 |      0 |         0 
 12464 Thread 52 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-18 |  1228000 |   446000 |   497119419 |  16335202925 |         0 |      0 |  1547242754 |      0 |      0 |         0 
 12465 Thread 53 - PartitionProcessorThre...3e-8e85-8e41c3793416-2-19 |  1301000 |   453000 |   520636614 |  17115479644 |         0 |      0 |  1442391330 |      0 |      0 |         0 
 12466 Thread 54 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-0 |  1300000 |   445000 |   518153911 |  17026861246 |         0 |      0 |  1280040503 |      0 |      0 |         0 
 12467 Thread 55 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-1 |  1282000 |   472000 |   521773618 |  17115549523 |         0 |      0 |  1254252653 |      0 |      0 |         0 
 12468 Thread 56 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-2 |  1243000 |   521000 |   526152657 |  17213467785 |         0 |      0 |  1232908998 |      0 |      0 |         0 
 12469 Thread 57 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-3 |  1234000 |   483000 |   509865110 |  16753991894 |         0 |      0 |  1418358066 |      0 |      0 |         0 
 12470 Thread 58 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-4 |  1219000 |   489000 |   508123950 |  16666232386 |         0 |      0 |  1440575506 |      0 |      0 |         0 
 12471 Thread 59 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-5 |  1301000 |   456000 |   522695973 |  17144698562 |         0 |      0 |  1274660298 |      0 |      0 |         0 
 12472 Thread 60 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-6 |  1285000 |   423000 |   508205563 |  16666995031 |         0 |      0 |  1408719775 |      0 |      0 |         0 
 12473 Thread 61 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-7 |  1285000 |   452000 |   516530337 |  16949600234 |         0 |      0 |  1482725936 |      0 |      0 |         0 
 12474 Thread 62 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-8 |  1178000 |   445000 |   481871204 |  15837017988 |         0 |      0 |  1364508656 |      0 |      0 |         0 
 12475 Thread 63 - PartitionProcessorThre...b3e-8e85-8e41c3793416-1-9 |  1275000 |   508000 |   530711466 |  17398719886 |         0 |      0 |  1312399254 |      0 |      0 |         0 
 12476 Thread 64 - PartitionProcessorThre...3e-8e85-8e41c3793416-1-10 |  1187000 |   430000 |   481247364 |  15779129164 |         0 |      0 |  1316811762 |      0 |      0 |         0 
 12477 Thread 65 - PartitionProcessorThre...3e-8e85-8e41c3793416-1-11 |  1197000 |   466000 |   494277997 |  16227525172 |         0 |      0 |  1262670976 |      0 |      0 |         0 
 12478 Thread 66 - PartitionProcessorThre...3e-8e85-8e41c3793416-1-12 |  1258000 |   444000 |   505607364 |  16607864949 |         0 |      0 |  1485436048 |      0 |      0 |         0 
 12479 Thread 67 - PartitionProcessorThre...3e-8e85-8e41c3793416-1-13 |  1303000 |   406000 |   509110220 |  16676544968 |         0 |      0 |  1504715817 |      0 |      0 |         0 
 12480 Thread 68 - PartitionProcessorThre...3e-8e85-8e41c3793416-1-14 |  1235000 |   430000 |   495715798 |  16247664937 |         0 |      0 |  1557256457 |      0 |      0 |         0 
